article_id,category,title,date,content,summary,source_url,source_name,company_tag,keywords,collected_at,has_null,is_duplicate_seed,data_origin,relevance_score,recommendation_reason,business_impact
CLN-00079,market,"공정 자동화 넘어 '제조AI'로… 부산, 스마트공장 2.0 대전환 속도",2026-09-18,"공정 자동화 넘어 '제조AI'로… 부산, 스마트공장 2.0 대전환 속도 폴리뉴스 Polinews","공정 자동화 넘어 '제조AI'로… 부산, 스마트공장 2.0 대전환 속도 폴리뉴스 Polinews",https://news.google.com/rss/articles/CBMibkFVX3lxTE54RGtJMlZZU3N0YkhISzlqa3pKeVZvT09waDctTXZ4MlMtUnFxOXV6QTh5TFc4UklycHZWMGRnU1ZNNGdZNFd5Y0dhc2IwZXRUaTMzWmswenJfSDRtZjMtOWtYS0V1TWlrc3MyRnpn0gFyQVVfeXFMT2g1YjM0REtrQklFRUNRX3hqWENDSV82SXh2eUlHQ09oeXczNURyQWNaVlliQ0l1VHVQdDFzcC1CVG1EZkxab1hqa2hVcWU0dXNMZENmS01GbzhObm4wamkyRVdtdk05SkRJMVV4ZGcwLUtn?oc=5,폴리뉴스 Polinews,,AI,2026-09-19T15:38:10.090473+09:00,False,False,live,66.0,"부산시의 '스마트공장 2.0' 대전환 정책은 제조업 AI 비전 검사 솔루션의 신규 수요 급증을 시사하므로, 동남권 시장 판로 개척 및 지자체 연계 정부지원사업 수주를 선점할 핵심 정책 시그널입니다. 단순 자동화를 넘어 AI 고도화를 추진하는 지역 제조업체를 신속히 타깃팅함으로써 경쟁사 대비 우위 확보와 매출 확대를 도모할 실질적 가치가 있습니다.",High
CLN-00745,policy,"메가존클라우드 '에어 스튜디오', AI 바우처 공급 선정… 도입비 최대 2억 지원",2026-03-23,"메가존클라우드 '에어 스튜디오', AI 바우처 공급 선정… 도입비 최대 2억 지원 전자신문","메가존클라우드 '에어 스튜디오', AI 바우처 공급 선정… 도입비 최대 2억 지원 전자신문",https://news.google.com/rss/articles/CBMiTkFVX3lxTE5KRFBRZGVqODBHZG5CWEZ4ZmF4aHRNNDdaU0hJUjNFX1FYSG1HaGRpZHFsbzlNenRyR3JmMmk3bVhwanBkMFlDdWZUN0ZLZw?oc=5,전자신문,,AI 바우처,2026-09-19T15:38:10.090473+09:00,False,False,live,58.0,경쟁사의 정부 AI 바우처 사업 활용 사례를 통해 정책 연계 영업 전략을 벤치마킹할 수 있는 유용한 정보입니다. 당사 역시 AI 바우처 공급기업 등록을 추진함으로써 도입 비용에 부담을 느끼는 제조업 고객의 진입장벽을 낮추고 신규 판로를 적극 개척할 수 있습니다.,Medium
CLN-00765,policy,"투라인클라우드, 2026년 AI 바우처 지원사업 공급기업 선정… ‘실행 중심 AI 전환’ 본격 지원",2026-03-19,"투라인클라우드, 2026년 AI 바우처 지원사업 공급기업 선정… ‘실행 중심 AI 전환’ 본격 지원 뉴스와이어","투라인클라우드, 2026년 AI 바우처 지원사업 공급기업 선정… ‘실행 중심 AI 전환’ 본격 지원 뉴스와이어",https://news.google.com/rss/articles/CBMiX0FVX3lxTE5RY2E4ZDhUbm9FVlJQaEQwV3BmNFNGVU5SWHJrdkt0VXlyMjRYdUMzX0Q3NHE4ckdHMEZtZ21odnplV2Q0SjZTS3BHUUVaMUcxejBBVTB1VHViQ2NZaFln?oc=5,뉴스와이어,,AI 바우처,2026-09-19T15:38:10.090473+09:00,False,False,live,58.0,정부의 AI 바우처 사업은 제조 고객사의 도입 비용 부담을 완화해 신규 판로를 개척할 수 있는 핵심 영업 채널입니다. 타사의 공급기업 선정 동향을 모니터링하여 NovaFactory AI의 2026년 AI 바우처 공급기업 등록 준비 및 제조 수요기업 선점을 위한 수주 전략을 선제적으로 정비하는 데 유용한 정보입니다.,Medium
CLN-00777,policy,"투라인클라우드, ​​‘2026년 AI 바우처 지원사업 공급기업’ 선정",2026-03-19,"투라인클라우드, ​​‘2026년 AI 바우처 지원사업 공급기업’ 선정 아이티데일리","투라인클라우드, ​​‘2026년 AI 바우처 지원사업 공급기업’ 선정 아이티데일리",https://news.google.com/rss/articles/CBMiZ0FVX3lxTE0zdmhKM0hJOXhIbjc3bnRGaGNESWp3VGlidEpHS2htREFLaXBzeGdjN2p6TFltWlAxYXJhWUQxZFFZUXprZGlrRV9saDlpend3S3BscWl0UzFKc1lsYmc2Z0dVQzZ0NTg?oc=5,아이티데일리,,AI 바우처,2026-09-19T15:38:10.090473+09:00,False,False,live,58.0,경쟁사의 AI 바우처 공급기업 선정 동향을 통해 2026년 정부 지원사업 시장의 경쟁 지형을 파악하고 선제적인 사업 참여 전략을 수립할 수 있습니다. 이를 바탕으로 AI 비전 품질검사 도입 비용에 부담을 느끼는 제조업 고객사를 타깃하여 바우처 연계 판로를 개척하는 마케팅 전략으로 활용할 수 있습니다.,Medium
CLN-00741,policy,"안랩·클라우드메이트, 'AI 바우처 사업' 솔루션 공급",2026-03-16,"안랩·클라우드메이트, 'AI 바우처 사업' 솔루션 공급 전자신문","안랩·클라우드메이트, 'AI 바우처 사업' 솔루션 공급 전자신문",https://news.google.com/rss/articles/CBMiTkFVX3lxTE9Qb2drUy1lMHpzN3NNQ0M1Ym1EbHctYThIeEVwT1QxbTJocFhsVWFld0tTeTlySXJQakRWVlZqT2x4d3VIXzlVR2tFVVFiUQ?oc=5,전자신문,,AI 바우처,2026-09-19T15:38:10.090473+09:00,False,False,live,58.0,정부의 AI 바우처 지원 확대는 초기 도입 비용 부담이 큰 제조 고객사의 구매 장벽을 낮춰 신규 판로를 공격적으로 개척할 수 있는 핵심 정책 기회입니다. 주요 IT 기업들의 바우처 시장 진입에 대응해 NovaFactory AI 역시 공식 공급기업 등록 및 정책 자금 연계 영업 전략을 신속히 강화할 것을 추천합니다.,Medium
CLN-00450,market,"네이버클라우드, 미스트랄 AI와 제조 AX 위한 '소버린 AI' 동맹",2026-07-08,"네이버클라우드, 미스트랄 AI와 제조 AX 위한 '소버린 AI' 동맹 AI타임스","네이버클라우드, 미스트랄 AI와 제조 AX 위한 '소버린 AI' 동맹 AI타임스",https://news.google.com/rss/articles/CBMiakFVX3lxTE1OcmVnMGJrclp5WFZkSU1iSHFFTTQ5ZW9vY0l2NXQtdnJ2YVFhWjJKTVRReFhQdXlYNDEzdmVTajNjTFFSWkdSdlMxODZFblV6a2lxYy1COWl5MnNZb3VfbnZjZ2hHZHdtcmc?oc=5,AI타임스,,클라우드,2026-09-19T15:38:10.090473+09:00,False,False,live,56.0,"제조 AX 시장 내 '소버린 AI' 트렌드 확산은 정부지원사업 수주 시 당사 비전 검사 솔루션의 '데이터 보안 및 온프레미스 AI' 경쟁력을 강조할 강력한 시장 명분이 됩니다. 또한, 네이버클라우드 플랫폼 생태계 연계를 통한 신규 판로 개척 및 거대 AI 연합에 대응하는 차별화된 현장 맞춤형 전략 수립에 실질적인 가치를 제공합니다.",Medium
CLN-00455,market,"네이버클라우드·지멘스, 제조 AI 전환 맞손…국내 스마트팩토리 혁신 가속",2026-06-24,"네이버클라우드·지멘스, 제조 AI 전환 맞손…국내 스마트팩토리 혁신 가속 더테크","네이버클라우드·지멘스, 제조 AI 전환 맞손…국내 스마트팩토리 혁신 가속 더테크",https://news.google.com/rss/articles/CBMiY0FVX3lxTFBWVDA5anBUdk95djNsaFJFOVh0QTdBcC1BcmZ3RHFFazIxT25sWDZSRXVOTFFJWDlmQzducEU4UklHYWpoeXhSOEZvV1NCMnJ5SWlwcGdWN1d5bTRueFMydkxFNA?oc=5,더테크,,클라우드,2026-09-19T15:38:10.090473+09:00,False,False,live,56.0,"글로벌 자동화 선도기업과 대표 클라우드 플랫폼의 결합으로 제조 AI 생태계가 급확대됨에 따라, 당사의 AI 비전 검사 솔루션을 해당 플랫폼과 연동하는 **기술 제휴 및 판로 개척 기회**로 활용할 수 있습니다. 동시에 스마트공장 고도화 관련 **정부지원사업 수주 및 경쟁 대응 전략**을 선제적으로 수립하는 데 실질적인 인사이트를 제공합니다.",Medium
CLN-00458,market,"네이버클라우드-지멘스, AI·산업 자동화 분야 협력…""제조 혁신 가속""",2026-06-24,"네이버클라우드-지멘스, AI·산업 자동화 분야 협력…""제조 혁신 가속"" 아시아경제","네이버클라우드-지멘스, AI·산업 자동화 분야 협력…""제조 혁신 가속"" 아시아경제",https://news.google.com/rss/articles/CBMiYEFVX3lxTE1BSHFXXzl2aVhEQjlmUnZOVjdfZ3djbkhjSUhlSnEybjZXTGNJNWRicGtxc0k1Sm00dXNVUUlrSFQ1U0FfVUVfbW05MGFPQjB0ZzFGVDU4b0hqWTBjYnhPMg?oc=5,아시아경제,,클라우드,2026-09-19T15:38:10.090473+09:00,False,False,live,56.0,"**추천 사유:**  클라우드 대기업과 글로벌 산업 자동화 거인의 협력은 '클라우드·AI 기반 스마트공장' 전환이 가속화됨을 의미하므로, 당사는 이들 플랫폼 생태계와의 연동 솔루션을 선제 개발하여 판로를 확장하고 관련 정부지원사업 수주의 핵심 명분으로 활용해야 합니다. 또한, 거대 플랫폼 연합의 시장 침투에 대응해 제조업 현장에 특화된 '고정밀·경량화 AI 비전 검사'만의 독자적 차별성을 강화하는 전략적 지표로 삼을 것을 추천합니다.",Medium
CLN-00464,market,"네이버클라우드-지멘스, AI·산업자동화 분야 협력…""제조현장 혁신"" - 머니투데이",2026-06-24,"네이버클라우드-지멘스, AI·산업자동화 분야 협력…""제조현장 혁신"" - 머니투데이 mt.co.kr","네이버클라우드-지멘스, AI·산업자동화 분야 협력…""제조현장 혁신"" - 머니투데이 mt.co.kr",https://news.google.com/rss/articles/CBMiZ0FVX3lxTE1Hc0pHOHlFM1dxYkZ0VGFNNGtFU0ltanEwaW9kanVlMTlNMlhkSnFza09MVVMyNF9aNHNSc3gwTlM3SXJud2ZBWlpfcVRMcU9JY2tkTjlXdFEzWmI5c1dPNmlOTmk0WVnSAWxBVV95cUxQSGwxa1VSbFR0UFpqb2xjbXBFc0x5Y2ZpQmU0V3FBcnFrQXhEX1Y1eTIzX3EwbHpCQjl2WTRqdGF3QzJEaGVINVhwNm41ZGxKak5oOExxcDQtNHcxbjliS0F1dmpQQWhfMGNRWjY?oc=5,mt.co.kr,,클라우드,2026-09-19T15:38:10.090473+09:00,False,False,live,56.0,"빅테크와 글로벌 자동화 기업의 결합으로 '클라우드 기반 제조 AI' 생태계 재편이 가속화되는 시장 흐름을 파악할 수 있는 주요 시그널입니다. 당사의 특화된 AI 비전 솔루션을 해당 플랫폼 생태계와 연동하는 파트너십 기회를 모색하거나, 독자적인 검사 기술력을 무기로 차별화된 정부지원사업 수주 및 판로 개척 전략을 수립하는 데 실질적인 인사이트를 제공합니다.",Medium
CLN-00712,policy,"경기도의회 이대한 의원, “서울보다 먼저 기획한 AI 바우처... 경기도가 스스로 멈춰선 안 돼”",2026-09-18,"경기도의회 이대한 의원, “서울보다 먼저 기획한 AI 바우처... 경기도가 스스로 멈춰선 안 돼” 누리일보","경기도의회 이대한 의원, “서울보다 먼저 기획한 AI 바우처... 경기도가 스스로 멈춰선 안 돼” 누리일보",https://news.google.com/rss/articles/CBMiXEFVX3lxTFBFajk2TXo3bVRUSTJxeDduWVlOcGVXcVFtN3VNcTIwVHBLUXZPZVVIVHVMVFo4S1A3RHpiR1ByenMyV1hmZjRTUl9kZF9wZ1NUQjVCRUtLcW83bVo0?oc=5,누리일보,,AI 바우처,2026-09-19T15:38:10.090473+09:00,False,False,live,53.0,"**[추천 사유]**  제조업체가 밀집한 경기도의 AI 바우처 정책 유지 및 확대 가능성을 시사하는 뉴스인 만큼, 도내 제조 고객사의 솔루션 도입 비용 부담을 낮춰줄 정책적 기회로 활용할 수 있습니다. 이를 발판으로 지자체 연계 정부지원사업 수주 전략을 선제적으로 점검하고, 도내 제조업 대상의 판로 개척 및 수요기업 선점 전략을 수립하는 데 유용한 정책 동향입니다.",Medium
CLN-00804,policy,"""AI 활용 역량이 경쟁력"" 부산TP, 스마트공장 기업과 머리 맞대",2026-09-18,"""AI 활용 역량이 경쟁력"" 부산TP, 스마트공장 기업과 머리 맞대 v.daum.net","""AI 활용 역량이 경쟁력"" 부산TP, 스마트공장 기업과 머리 맞대 v.daum.net",https://news.google.com/rss/articles/CBMiRkFVX3lxTE40dXBVYkhqcVQ4Y3N3RlV1RjhSM2ZDNGN5and4RDh1aFo4NmZqVGVQcG44b3F2NjBNbG1UazhZOTM1cnVld1E?oc=5,v.daum.net,,스마트공장,2026-09-19T15:38:10.090473+09:00,False,False,live,53.0,핵심 키워드(AI) 부합 · 정부지원/바우처(스마트공장) 연계 가능에 따른 맞춤형 추천.,Medium
CLN-00807,policy,"부산테크노파크, 스마트공장 넘어 ‘제조AI·자율형공장’ 전환 지원 강화",2026-09-18,"부산테크노파크, 스마트공장 넘어 ‘제조AI·자율형공장’ 전환 지원 강화 이뉴스투데이","부산테크노파크, 스마트공장 넘어 ‘제조AI·자율형공장’ 전환 지원 강화 이뉴스투데이",https://news.google.com/rss/articles/CBMidEFVX3lxTE5fMG9GaDZRREZ3RmFXZGUtT1IxVzRhQjBWQVgtQmxWVEVmWG93Unp5UGU3NmFKUEFibm1iV09yNUVnZ2JjVVFSZFZGRm8xVy1sWmZTckUtQkJuS19uNVdPeWViNkZ2RVo1S3pYRXd5bUZHRzNr0gF0QVVfeXFMTl8wb0ZoNlFERndGYVdkZS1PUjFXNGFCMFZBWC1CbFZURWZYb3dSenlQZTc2YUpQQWJubWJXT3I1RWdnYmNVUVJkVkZGbzFXLWxaZlNyRS1CQm5LX241V095ZWI2RnZFWjVLelhFd3ltRkdHM2s?oc=5,이뉴스투데이,,스마트공장,2026-09-19T15:38:10.090473+09:00,False,False,live,53.0,핵심 키워드(AI) 부합 · 정부지원/바우처(스마트공장) 연계 가능에 따른 맞춤형 추천.,Medium
CLN-00626,policy,"의왕시, 7개 창업지원기관 공동 설명회 개최…AI 사업계획서-세무 실전 교육",2026-09-16,"의왕시, 7개 창업지원기관 공동 설명회 개최…AI 사업계획서-세무 실전 교육 CNB뉴스","의왕시, 7개 창업지원기관 공동 설명회 개최…AI 사업계획서-세무 실전 교육 CNB뉴스",https://news.google.com/rss/articles/CBMia0FVX3lxTE85bU5xeTBaOGR4a2RKYW5LemxFS1hJdjJUelUyZzg4MHlnQk9MTGM1V1UwVDVVY3pxNEc1YXd6NFlEeENvanEyZ0d1YktkeVAxZ1NsTi1QRlUyZGJJYlpGXzlPTy1veHp0X2ow?oc=5,CNB뉴스,,창업지원,2026-09-19T15:38:10.090473+09:00,False,False,live,53.0,핵심 키워드(AI) 부합 · 정부지원/바우처(창업지원) 연계 가능에 따른 맞춤형 추천.,Medium
CLN-00904,policy,(해설)‘R&D를 넘어 산업화로… 전북의 피지컬AI 미래’,2026-09-16,(해설)‘R&D를 넘어 산업화로… 전북의 피지컬AI 미래’ jnv.co.kr,(해설)‘R&D를 넘어 산업화로… 전북의 피지컬AI 미래’ jnv.co.kr,https://news.google.com/rss/articles/CBMiZkFVX3lxTE44d2o0UFNXRlk5TEFsaGEybUF2SThZc0l5ZDlWd0hUUlBUak5zcjJSZThFNFFpVWlBM01WM2VHSVctalFBUlB1cHg0emNwRE8zZkw3Yk1OSGx1RlF3VjRlZWN6aEh4Zw?oc=5,jnv.co.kr,,R&D,2026-09-19T15:38:10.090473+09:00,False,False,live,53.0,핵심 키워드(AI) 부합 · 정부지원/바우처(R&D) 연계 가능에 따른 맞춤형 추천.,Medium
CLN-00810,policy,경남도 '제조 AI 확산 거점' 스마트공장 현장 목소리 듣는다,2026-09-15,경남도 '제조 AI 확산 거점' 스마트공장 현장 목소리 듣는다 전자신문,경남도 '제조 AI 확산 거점' 스마트공장 현장 목소리 듣는다 전자신문,https://news.google.com/rss/articles/CBMiTkFVX3lxTE9XNlp6aV9KZGcxbzRRRVZlQ1Y3WEJpMnM5UUdoejJpTmNFNXllcHBfTHBYSkh1Q29rWXhhd09iQ2VsMnIwVF9oSXRrZUxLZw?oc=5,전자신문,,스마트공장,2026-09-19T15:38:10.090473+09:00,False,False,live,53.0,핵심 키워드(AI) 부합 · 정부지원/바우처(스마트공장) 연계 가능에 따른 맞춤형 추천.,Medium
CLN-00200,market,"위플로, AI·로봇 기반 품질검사 자동화 솔루션 ‘플로원’ 출시",2026-06-10,"위플로, AI·로봇 기반 품질검사 자동화 솔루션 ‘플로원’ 출시 한경매거진&북","위플로, AI·로봇 기반 품질검사 자동화 솔루션 ‘플로원’ 출시 한경매거진&북",https://news.google.com/rss/articles/CBMia0FVX3lxTE9TUzBodkoyNTdHRVBEUVVSUDNaWjQ3TF80WXBDbGpnX2RVRWRHUW1yVTZXNy1qVnlWbDdhS09CZ2V6SnpxT3kwUlQ4Skk0ZjUyWklwVFczejhWaHdSRUtiQTMzNkFsUzNOUDVv?oc=5,한경매거진&북,,품질검사,2026-09-19T15:38:10.090473+09:00,False,False,live,53.0,"핵심 키워드(AI, 자동화, 품질검사) 부합에 따른 맞춤형 추천.",Medium
